variant_id,product_id,size,color,stock
V00917,P0918,S,Black,186
V00918,P0919,M,Blue,48
V00919,P0920,XL,Red,79
V00920,P0921,L,Blue,62
V00921,P0922,XL,Red,176
V00922,P0923,S,Blue,188
V00923,P0924,M,Red,158
V00924,P0925,S,Red,187
V00925,P0926,S,Red,34
V00926,P0927,L,Blue,34
V00927,P0928,M,Red,15
V00928,P0929,XL,Blue,50
V00929,P0930,L,Black,151
V00930,P9999,XL,Blue,31
V00931,P0932,M,Red,127
V00932,P0933,M,Black,104
V00933,P0934,L,Blue,42
V00934,P0935,XL,Black,151
V00935,P0936,S,White,91
V00936,P0937,S,Black,31
V00937,P0938,XL,Black,88
V00938,P0939,XL,Red,25
V00939,P0940,XL,Red,12
V00940,P0941,XL,Blue,180
V00941,P0942,XL,White,36
V00942,P0943,XL,White,128
V00943,P0944,L,Black,95
V00944,P0945,XL,White,190
V00945,P0946,M,Blue,155
V00946,P0947,M,Black,72
V00947,P0948,XL,Red,156
V00948,P0949,M,Black,150
V00949,P0950,M,White,90
V00950,P0951,XL,Red,-5
V00951,P0952,S,Black,170
V00952,P0953,XL,Black,169
V00953,P0954,L,Red,84
V00954,P0955,XL,Black,121
V00955,P0956,S,Blue,198
V00956,P0957,M,Red,116
V00957,P0958,S,Red,20
V00958,P0959,XL,White,74
V00959,P0960,XL,White,190
V00960,P9999,M,Red,163
V00961,P0962,XL,Red,111
V00962,P0963,M,Blue,108
V00963,P0964,S,Red,98
V00964,P0965,M,Black,84
V00965,P0966,L,Red,193
V00966,P0967,XL,White,102
V00967,P0968,XL,White,5
V00968,P0969,L,Black,33
V00969,P0970,M,Red,74
V00970,P0971,S,Black,7
V00971,P0972,L,Blue,12
V00972,P0973,XL,Blue,158
V00973,P0974,L,Black,108
V00974,P0975,M,Black,9
V00975,P0976,S,Blue,162
V00976,P0977,S,Blue,185
V00977,P0978,L,Blue,141
V00978,P0979,M,Red,69
V00979,P0980,M,White,35
V00980,P0981,M,Red,131
V00981,P0982,L,Blue,106
V00982,P0983,XL,Black,49
V00983,P0984,L,Blue,19
V00984,P0985,L,Black,148
V00985,P0986,S,Black,18
V00986,P0987,S,Blue,77
V00987,P0988,L,Blue,123
V00988,P0989,M,Black,171
V00989,P0990,S,White,115
V00990,P9999,S,Black,93
V00991,P0992,L,Blue,55
V00992,P0993,S,Blue,75
V00993,P0994,M,White,188
V00994,P0995,S,Blue,153
V00995,P0996,XL,Blue,87
V00996,P0997,M,Black,178
V00997,P0998,S,Red,120
V00998,P0999,L,Blue,135
V00999,P1000,S,Red,32
V01000,P1001,S,Blue,-5
V01001,P1002,XL,White,84
V01002,P1003,M,Red,147
V01003,P1004,L,Black,52
V01004,P1005,XL,Red,128
V01005,P1006,XL,Blue,158
V01006,P1007,S,Blue,189
V01007,P1008,S,Red,120
V01008,P1009,L,Black,0
V01009,P1010,S,Red,73
V01010,P1011,M,Black,157
V01011,P1012,L,Red,89
V01012,P1013,S,Red,189
V01013,P1014,L,Red,10
V01014,P1015,XL,Red,180
V01015,P1016,XL,Blue,118
V01016,P1017,L,Blue,147
V01017,P1018,S,White,15
V01018,P1019,XL,Red,50
V01019,P1020,XL,Red,136
V01020,P9999,L,Blue,190
V01021,P1022,XL,Black,67
V01022,P1023,M,Blue,182
V01023,P1024,S,Red,95
V01024,P1025,S,White,7
V01025,P1026,XL,White,98
V01026,P1027,XL,White,168
V01027,P1028,L,Red,107
V01028,P1029,M,Red,70
V01029,P1030,L,Black,32
V01030,P1031,M,Red,78
V01031,P1032,L,White,28
V01032,P1033,XL,White,113
V01033,P1034,M,Red,179
V01034,P1035,XL,Blue,191
V01035,P1036,XL,Red,100
V01036,P1037,L,Red,33
V01037,P1038,M,White,104
V01038,P1039,XL,Blue,198
V01039,P1040,S,Blue,176
V01040,P1041,S,White,197
V01041,P1042,XL,Black,155
V01042,P1043,L,Red,191
V01043,P1044,S,Black,31
V01044,P1045,S,Red,85
V01045,P1046,M,Blue,7
V01046,P1047,XL,Blue,151
V01047,P1048,S,Black,2
V01048,P1049,M,White,163
V01049,P1050,M,Black,61
V01050,P9999,L,Black,-5
V01051,P1052,M,Red,98
V01052,P1053,S,White,114
V01053,P1054,S,Red,67
V01054,P1055,XL,White,193
V01055,P1056,M,White,90
V01056,P1057,S,Red,171
V01057,P1058,M,Red,155
V01058,P1059,XL,Black,126
V01059,P1060,S,Black,149
V01060,P1061,L,Blue,121
V01061,P1062,XL,Red,25
V01062,P1063,M,White,176
V01063,P1064,XL,Black,18
V01064,P1065,M,Blue,22
V01065,P1066,XL,Red,24
V01066,P1067,XL,White,75
V01067,P1068,XL,Black,21
V01068,P1069,M,Red,24
V01069,P1070,XL,Red,36
V01070,P1071,L,Black,140
V01071,P1072,M,White,157
V01072,P1073,M,White,71
V01073,P1074,S,Blue,159
V01074,P1075,S,White,93
V01075,P1076,L,Blue,178
V01076,P1077,S,White,173
V01077,P1078,M,Red,21
V01078,P1079,M,Black,118
V01079,P1080,S,Blue,161
V01080,P9999,S,Red,44
V01081,P1082,M,Blue,189
V01082,P1083,M,Red,176
V01083,P1084,XL,Red,28
V01084,P1085,M,Blue,2
V01085,P1086,XL,Blue,4
V01086,P1087,M,Red,4
V01087,P1088,M,Red,17
V01088,P1089,M,Blue,193
V01089,P1090,S,White,111
V01090,P1091,L,White,48
V01091,P1092,L,Blue,159
V01092,P1093,S,White,195
V01093,P1094,S,White,69
V01094,P1095,XL,Black,10
V01095,P1096,L,Red,40
V01096,P1097,M,Blue,123
V01097,P1098,M,Blue,167
V01098,P1099,L,Red,142
V01099,P1100,L,White,86
V01100,P1101,M,Blue,-5
V01101,P1102,L,Black,78
V01102,P1103,S,Black,41
V01103,P1104,XL,Black,88
V01104,P1105,M,Black,142
V01105,P1106,S,Blue,168
V01106,P1107,XL,Black,136
V01107,P1108,L,Blue,30
V01108,P1109,M,White,16
V01109,P1110,L,Black,95
V01110,P9999,L,Black,46
V01111,P1112,XL,White,26
V01112,P1113,XL,Black,167
V01113,P1114,XL,Black,29
V01114,P1115,XL,Red,111
V01115,P1116,S,Black,154
V01116,P1117,S,Red,135
V01117,P1118,XL,Blue,118
V01118,P1119,L,White,173
V01119,P1120,XL,Red,132
V01120,P1121,L,Blue,161
V01121,P1122,S,Red,185
V01122,P1123,XL,Black,123
V01123,P1124,M,Red,148
V01124,P1125,L,Blue,25
V01125,P1126,L,White,95
V01126,P1127,M,Black,174
V01127,P1128,M,Blue,102
V01128,P1129,L,White,104
V01129,P1130,XL,White,73
V01130,P1131,XL,Black,17
V01131,P1132,S,Red,31
V01132,P1133,XL,White,70
V01133,P1134,XL,Blue,119
V01134,P1135,S,Red,69
V01135,P1136,M,Blue,30
V01136,P1137,M,Blue,53
V01137,P1138,S,White,195
V01138,P1139,L,Black,178
V01139,P1140,XL,Red,136
V01140,P9999,M,Blue,140
V01141,P1142,M,Red,77
V01142,P1143,M,White,45
V01143,P1144,XL,Blue,48
V01144,P1145,S,Black,135
V01145,P1146,S,White,87
V01146,P1147,XL,Red,143
V01147,P1148,S,Blue,156
V01148,P1149,XL,Red,0
V01149,P1150,L,Red,57
V01150,P1151,M,Blue,-5
V01151,P1152,M,Black,31
V01152,P1153,S,Blue,124
V01153,P1154,L,White,138
V01154,P1155,S,Black,1
V01155,P1156,S,Black,119
V01156,P1157,S,Red,70
V01157,P1158,XL,Black,115
V01158,P1159,S,Blue,82
V01159,P1160,L,Blue,109
V01160,P1161,L,Red,129
V01161,P1162,L,Red,171
V01162,P1163,S,Red,175
V01163,P1164,M,Red,69
V01164,P1165,M,Black,44
V01165,P1166,L,Black,63
V01166,P1167,S,Red,193
V01167,P1168,XL,Red,68
V01168,P1169,L,Blue,144
V01169,P1170,S,White,67
V01170,P9999,XL,White,143
V01171,P1172,L,Red,186
V01172,P1173,S,White,31
V01173,P1174,XL,Blue,27
V01174,P1175,L,Red,106
V01175,P1176,S,Black,138
V01176,P1177,S,White,14
V01177,P1178,M,White,93
V01178,P1179,M,Red,149
V01179,P1180,S,Black,132
V01180,P1181,M,White,68
V01181,P1182,XL,Blue,22
V01182,P1183,XL,White,73
V01183,P1184,M,Red,128
V01184,P1185,S,Black,132
V01185,P1186,M,White,7
V01186,P1187,M,Black,46
V01187,P1188,M,Blue,95
V01188,P1189,M,Red,13
V01189,P1190,S,Blue,35
V01190,P1191,S,Blue,37
V01191,P1192,L,Red,152
V01192,P1193,M,Black,194
V01193,P1194,S,Red,62
V01194,P1195,XL,Red,58
V01195,P1196,S,Red,43
V01196,P1197,XL,Red,4
V01197,P1198,M,Blue,21
V01198,P1199,S,White,128
V01199,P1200,S,Black,182
V01200,P9999,XL,Black,-5
V01201,P1202,XL,Black,183
V01202,P1203,M,White,42
V01203,P1204,S,White,139
V01204,P1205,XL,Red,59
V01205,P1206,XL,Blue,199
V01206,P1207,S,Blue,46
V01207,P1208,M,Blue,143
V01208,P1209,M,Black,150
V01209,P1210,M,White,11
V01210,P1211,L,Red,86
V01211,P1212,S,Blue,144
V01212,P1213,L,Black,170
V01213,P1214,XL,Red,28
V01214,P1215,XL,White,99
V01215,P1216,XL,White,101
V01216,P1217,XL,Blue,23
V01217,P1218,M,Blue,185
V01218,P1219,L,Blue,38
V01219,P1220,L,Blue,174
V01220,P1221,L,White,48
V01221,P1222,L,Black,72
V01222,P1223,M,Blue,25
V01223,P1224,L,Black,86
V01224,P1225,S,White,69
V01225,P1226,XL,White,191
V01226,P1227,XL,Blue,146
V01227,P1228,XL,White,148
V01228,P1229,L,Black,59
V01229,P1230,XL,Red,185
V01230,P9999,XL,Black,5
V01231,P1232,S,White,171
V01232,P1233,L,Red,73
V01233,P1234,XL,Red,187
V01234,P1235,M,White,93
V01235,P1236,L,Black,139
V01236,P1237,S,Blue,72
V01237,P1238,XL,White,126
V01238,P1239,S,Red,160
V01239,P1240,M,White,39
V01240,P1241,XL,White,79
V01241,P1242,S,Red,198
V01242,P1243,XL,Red,132
V01243,P1244,M,Black,30
V01244,P1245,XL,Blue,18
V01245,P1246,M,Red,72
V01246,P1247,S,Black,146
V01247,P1248,M,Blue,6
V01248,P1249,S,White,182
V01249,P1250,L,Black,107
V01250,P1251,M,Red,-5
V01251,P1252,L,Blue,151
V01252,P1253,L,Red,56
V01253,P1254,XL,Red,30
V01254,P1255,L,Black,161
V01255,P1256,M,Black,179
V01256,P1257,XL,Blue,150
V01257,P1258,S,White,90
V01258,P1259,XL,Red,43
V01259,P1260,S,White,142
V01260,P9999,M,Black,21
V01261,P1262,M,Red,167
V01262,P1263,S,Blue,102
V01263,P1264,L,Red,110
V01264,P1265,S,White,136
V01265,P1266,L,Red,52
V01266,P1267,L,Black,16
V01267,P1268,S,Blue,190
V01268,P1269,L,Red,98
V01269,P1270,S,Black,82
V01270,P1271,L,White,12
V01271,P1272,XL,Red,193
V01272,P1273,M,White,72
V01273,P1274,S,Black,146
V01274,P1275,XL,White,10
V01275,P1276,M,Red,186
V01276,P1277,M,White,46
V01277,P1278,M,Red,18
V01278,P1279,S,Blue,36
V01279,P1280,S,Black,173
V01280,P1281,L,Black,29
V01281,P1282,S,Blue,115
V01282,P1283,XL,White,180
V01283,P1284,XL,Blue,125
V01284,P1285,S,Red,193
V01285,P1286,L,White,65
V01286,P1287,M,Blue,153
V01287,P1288,XL,Black,169
V01288,P1289,XL,Black,49
V01289,P1290,M,Red,104
V01290,P9999,M,White,105
V01291,P1292,L,Black,189
V01292,P1293,M,Blue,72
V01293,P1294,M,White,63
V01294,P1295,S,Blue,177
V01295,P1296,XL,White,98
V01296,P1297,M,White,152
V01297,P1298,M,Black,133
V01298,P1299,M,White,88
V01299,P1300,S,Red,147
V01300,P1301,S,White,-5
V01301,P1302,XL,Red,106
V01302,P1303,XL,White,111
V01303,P1304,XL,White,181
V01304,P1305,M,Blue,72
V01305,P1306,M,Blue,103
V01306,P1307,S,Blue,174
V01307,P1308,M,White,141
V01308,P1309,S,Red,134
V01309,P1310,M,Red,67
V01310,P1311,L,White,34
V01311,P1312,M,Blue,97
V01312,P1313,M,White,49
V01313,P1314,M,Blue,37
V01314,P1315,XL,Black,170
V01315,P1316,XL,Red,196
V01316,P1317,S,Blue,141
V01317,P1318,XL,Black,194
V01318,P1319,XL,Blue,61
V01319,P1320,L,Red,140
V01320,P9999,XL,Blue,36
V01321,P1322,L,Blue,30
V01322,P1323,S,Black,20
V01323,P1324,S,Blue,153
V01324,P1325,XL,White,172
V01325,P1326,XL,Red,177
V01326,P1327,M,Red,85
V01327,P1328,L,White,129
V01328,P1329,S,White,21
V01329,P1330,S,Black,118
V01330,P1331,M,White,91
V01331,P1332,L,Black,111
V01332,P1333,XL,White,28
V01333,P1334,XL,White,173
V01334,P1335,M,White,182
V01335,P1336,L,White,73
V01336,P1337,XL,Blue,113
V01337,P1338,XL,Blue,128
V01338,P1339,L,Red,124
V01339,P1340,L,Blue,104
V01340,P1341,M,Blue,41
V01341,P1342,XL,White,75
V01342,P1343,M,Black,114
V01343,P1344,M,Blue,146
V01344,P1345,M,Black,137
V01345,P1346,S,Blue,38
V01346,P1347,S,White,11
V01347,P1348,L,Blue,130
V01348,P1349,S,White,25
V01349,P1350,XL,Black,93
V01350,P9999,M,Blue,-5
V01351,P1352,XL,Blue,87
V01352,P1353,M,Blue,62
V01353,P1354,L,Red,192
V01354,P1355,S,Red,172
V01355,P1356,M,Red,23
V01356,P1357,L,Black,30
V01357,P1358,XL,Black,125
V01358,P1359,M,Blue,172
V01359,P1360,XL,Blue,103
V01360,P1361,M,Red,57
V01361,P1362,L,White,123
V01362,P1363,S,Red,48
V01363,P1364,M,Blue,38
V01364,P1365,L,Black,49
V01365,P1366,S,Blue,149
V01366,P1367,M,Black,146
V01367,P1368,M,Red,60
V01368,P1369,XL,Red,94
V01369,P1370,S,Red,127
V01370,P1371,S,Blue,45
V01371,P1372,M,Blue,182
V01372,P1373,M,Blue,138
V01373,P1374,S,Blue,136
V01374,P1375,S,Black,97
V01375,P1376,L,Blue,128
V01376,P1377,S,Red,105
V01377,P1378,M,Red,90
V01378,P1379,L,White,119
V01379,P1380,M,Blue,56
V01380,P9999,XL,White,64
V01381,P1382,XL,Blue,129
V01382,P1383,S,White,172
V01383,P1384,XL,Blue,181
V01384,P1385,L,Blue,23
V01385,P1386,S,Blue,13
V01386,P1387,S,Blue,186
V01387,P1388,L,Red,163
V01388,P1389,S,Black,98
V01389,P1390,XL,Red,116
V01390,P1391,S,Blue,74
V01391,P1392,S,White,73
V01392,P1393,S,White,17
V01393,P1394,S,White,160
V01394,P1395,M,Red,46
V01395,P1396,M,Blue,186
V01396,P1397,M,Blue,136
V01397,P1398,XL,White,58
V01398,P1399,M,Black,26
V01399,P1400,M,Black,5
V01400,P1401,L,Blue,-5
V01401,P1402,XL,White,25
V01402,P1403,S,Blue,127
V01403,P1404,XL,Blue,106
V01404,P1405,S,White,123
V01405,P1406,L,Red,56
V01406,P1407,M,Blue,165
V01407,P1408,S,Black,28
V01408,P1409,S,Red,89
V01409,P1410,M,White,87
V01410,P9999,M,Red,83
V01411,P1412,XL,White,116
V01412,P1413,L,Blue,148
V01413,P1414,XL,Blue,134
V01414,P1415,XL,Red,159
V01415,P1416,XL,Red,127
V01416,P1417,L,Black,167
V01417,P1418,L,Blue,31
V01418,P1419,S,Red,57
V01419,P1420,XL,Black,5
V01420,P1421,XL,Blue,32
V01421,P1422,M,Blue,26
V01422,P1423,M,Blue,38
V01423,P1424,L,White,136
V01424,P1425,M,Black,71
V01425,P1426,XL,Red,133
V01426,P1427,M,Red,127
V01427,P1428,M,Red,83
V01428,P1429,L,White,97
V01429,P1430,S,Red,128
V01430,P1431,XL,Red,100
V01431,P1432,M,Black,166
V01432,P1433,S,White,128
V01433,P1434,S,White,166
V01434,P1435,M,White,57
V01435,P1436,M,Red,142
V01436,P1437,L,White,168
V01437,P1438,M,Red,159
V01438,P1439,XL,Black,3
V01439,P1440,XL,Red,9
V01440,P9999,L,White,168
V01441,P1442,M,White,122
V01442,P1443,M,White,118
V01443,P1444,L,Black,40
V01444,P1445,M,Black,2
V01445,P1446,S,White,127
V01446,P1447,L,White,135
V01447,P1448,L,Blue,142
V01448,P1449,XL,White,95
V01449,P1450,M,Black,51
V01450,P1451,S,Blue,-5
V01451,P1452,M,Black,119
V01452,P1453,XL,Black,1
V01453,P1454,L,White,104
V01454,P1455,XL,Blue,146
V01455,P1456,L,White,3
V01456,P1457,S,Red,131
V01457,P1458,S,Black,150
V01458,P1459,XL,White,109
V01459,P1460,XL,Black,72
V01460,P1461,XL,Blue,90
V01461,P1462,L,Blue,161
V01462,P1463,S,White,154
V01463,P1464,S,Red,161
V01464,P1465,L,Blue,65
V01465,P1466,S,Blue,51
V01466,P1467,XL,Red,57
V01467,P1468,L,White,185
V01468,P1469,S,Blue,2
V01469,P1470,S,Black,55
V01470,P9999,L,Black,87
V01471,P1472,M,White,89
V01472,P1473,L,Black,154
V01473,P1474,M,White,76
V01474,P1475,L,Red,67
V01475,P1476,M,Red,22
V01476,P1477,L,Blue,15
V01477,P1478,S,Black,142
V01478,P1479,S,Red,51
V01479,P1480,L,White,131
V01480,P1481,XL,Red,109
V01481,P1482,L,Black,26
V01482,P1483,L,Red,163
V01483,P1484,L,White,0
V01484,P1485,L,White,191
V01485,P1486,M,Red,70
V01486,P1487,M,Black,63
V01487,P1488,S,Blue,85
V01488,P1489,XL,White,130
V01489,P1490,L,Blue,82
V01490,P1491,M,Red,190
V01491,P1492,S,Red,46
V01492,P1493,L,Blue,77
V01493,P1494,M,Blue,16
V01494,P1495,M,Blue,15
V01495,P1496,XL,Red,116
V01496,P1497,XL,Black,76
V01497,P1498,M,Red,155
V01498,P1499,L,White,128
V01499,P1500,XL,Blue,100
V01500,P9999,XL,Black,-5
V01501,P1502,L,Black,107
V01502,P1503,M,White,172
V01503,P1504,S,Black,170
V01504,P1505,S,Blue,168
V01505,P1506,M,Red,96
V01506,P1507,S,Black,188
V01507,P1508,XL,White,100
V01508,P1509,S,Black,6
V01509,P1510,S,White,170
V01510,P1511,S,Red,21
V01511,P1512,M,Black,92
V01512,P1513,S,Red,198
V01513,P1514,M,Red,29
V01514,P1515,L,White,106
V01515,P1516,XL,White,24
V01516,P1517,L,Blue,90
V01517,P1518,S,Red,48
V01518,P1519,M,Blue,95
V01519,P1520,L,Red,44
V01520,P1521,M,Blue,154
V01521,P1522,L,Red,57
V01522,P1523,L,White,24
V01523,P1524,L,White,183
V01524,P1525,M,Black,192
V01525,P1526,XL,White,190
V01526,P1527,S,Blue,19
V01527,P1528,S,Black,33
V01528,P1529,L,Red,52
V01529,P1530,M,Blue,142
V01530,P9999,XL,Red,130
V01531,P1532,M,Red,105
V01532,P1533,L,Black,133
V01533,P1534,XL,White,134
V01534,P1535,M,White,0
V01535,P1536,M,Blue,116
V01536,P1537,XL,Red,93
V01537,P1538,M,White,57
V01538,P1539,L,White,87
V01539,P1540,XL,White,193
V01540,P1541,S,White,7
V01541,P1542,XL,White,87
V01542,P1543,S,Red,178
V01543,P1544,S,White,106
V01544,P1545,M,White,121
V01545,P1546,XL,White,87
V01546,P1547,L,Blue,125
V01547,P1548,M,Blue,117
V01548,P1549,L,White,40
V01549,P1550,S,Red,184
V01550,P1551,L,Black,-5
V01551,P1552,XL,Black,56
V01552,P1553,XL,Blue,180
V01553,P1554,L,Red,11
V01554,P1555,L,Red,35
V01555,P1556,M,Black,179
V01556,P1557,L,White,34
V01557,P1558,XL,Red,150
V01558,P1559,XL,White,19
V01559,P1560,S,Red,134
V01560,P9999,L,Red,62
V01561,P1562,S,Blue,35
V01562,P1563,XL,White,54
V01563,P1564,M,Blue,173
V01564,P1565,M,Black,151
V01565,P1566,M,Black,56
V01566,P1567,S,Black,5
V01567,P1568,S,Black,20
V01568,P1569,XL,Blue,32
V01569,P1570,L,Blue,104
V01570,P1571,S,Blue,63
V01571,P1572,L,Blue,113
V01572,P1573,L,Black,86
V01573,P1574,L,Black,19
V01574,P1575,L,Black,60
V01575,P1576,M,Blue,13
V01576,P1577,S,Red,119
V01577,P1578,L,Blue,140
V01578,P1579,L,Red,79
V01579,P1580,S,Blue,177
V01580,P1581,L,Blue,75
V01581,P1582,M,White,60
V01582,P1583,L,Black,67
V01583,P1584,M,Blue,106
V01584,P1585,S,Blue,159
V01585,P1586,L,Blue,82
V01586,P1587,L,Blue,171
V01587,P1588,S,White,193
V01588,P1589,L,Blue,77
V01589,P1590,M,Blue,189
V01590,P9999,S,White,189
V01591,P1592,S,Blue,193
V01592,P1593,M,White,136
V01593,P1594,XL,Blue,119
V01594,P1595,XL,Red,80
V01595,P1596,L,Red,62
V01596,P1597,S,Blue,43
V01597,P1598,XL,Black,23
V01598,P1599,L,Red,82
V01599,P1600,M,Black,70
V01600,P1601,S,Red,-5
V01601,P1602,XL,Red,178
V01602,P1603,L,Black,1
V01603,P1604,S,Black,180
V01604,P1605,S,Black,72
V01605,P1606,L,Black,140
V01606,P1607,S,White,22
V01607,P1608,S,White,149
V01608,P1609,M,Blue,2
V01609,P1610,S,Red,25
V01610,P1611,L,Blue,70
V01611,P1612,L,Blue,52
V01612,P1613,S,White,96
V01613,P1614,M,Red,185
V01614,P1615,S,Red,140
V01615,P1616,XL,Black,94
V01616,P1617,S,Black,109
V01617,P1618,XL,White,77
V01618,P1619,S,Red,133
V01619,P1620,S,Blue,153
V01620,P9999,M,White,3
V01621,P1622,L,Red,135
V01622,P1623,XL,Blue,188
V01623,P1624,S,Red,46
V01624,P1625,XL,White,140
V01625,P1626,XL,White,65
V01626,P1627,L,Black,3
V01627,P1628,S,White,144
V01628,P1629,S,Blue,149
V01629,P1630,S,Black,130
V01630,P1631,XL,White,152
V01631,P1632,M,Red,163
V01632,P1633,L,Red,160
V01633,P1634,M,Red,130
V01634,P1635,XL,Blue,113
V01635,P1636,M,Black,161
V01636,P1637,S,Red,83
V01637,P1638,S,Blue,38
V01638,P1639,L,White,182
V01639,P1640,M,Red,198
V01640,P1641,L,Black,137
V01641,P1642,L,Blue,6
V01642,P1643,XL,Red,10
V01643,P1644,XL,Black,180
V01644,P1645,L,Black,115
V01645,P1646,M,Blue,60
V01646,P1647,S,Red,85
V01647,P1648,M,Red,185
V01648,P1649,L,Blue,52
V01649,P1650,S,Red,135
V01650,P9999,L,Blue,-5
V01651,P1652,XL,Black,183
V01652,P1653,M,White,0
V01653,P1654,L,Blue,79
V01654,P1655,M,Red,56
V01655,P1656,L,Black,58
V01656,P1657,XL,Red,0
V01657,P1658,L,White,118
V01658,P1659,M,Black,151
V01659,P1660,XL,Blue,26
V01660,P1661,L,White,137
V01661,P1662,XL,Red,195
V01662,P1663,S,White,43
V01663,P1664,M,Blue,140
V01664,P1665,XL,Red,124
V01665,P1666,XL,White,125
V01666,P1667,L,Red,145
V01667,P1668,M,Blue,71
V01668,P1669,M,Blue,131
V01669,P1670,XL,White,115
V01670,P1671,L,White,81
V01671,P1672,S,Blue,178
V01672,P1673,S,Red,84
V01673,P1674,L,Red,117
V01674,P1675,S,Blue,122
V01675,P1676,L,Red,133
V01676,P1677,XL,Red,35
V01677,P1678,M,Red,135
V01678,P1679,M,Red,10
V01679,P1680,M,Red,1
V01680,P9999,XL,White,8
V01681,P1682,S,White,28
V01682,P1683,L,Blue,66
V01683,P1684,L,Black,85
V01684,P1685,S,Blue,183
V01685,P1686,S,Black,132
V01686,P1687,S,Blue,62
V01687,P1688,XL,Black,176
V01688,P1689,L,Black,198
V01689,P1690,S,Red,114
V01690,P1691,M,White,11
V01691,P1692,L,Black,117
V01692,P1693,S,Red,65
V01693,P1694,L,White,84
V01694,P1695,XL,White,9
V01695,P1696,XL,White,79
V01696,P1697,XL,Black,57
V01697,P1698,M,White,112
V01698,P1699,L,Red,56
V01699,P1700,XL,Red,41
V01700,P1701,L,Black,-5
V01701,P1702,S,Black,40
V01702,P1703,XL,Blue,98
V01703,P1704,S,Black,66
V01704,P1705,M,Red,23
V01705,P1706,S,White,165
V01706,P1707,S,Blue,120
V01707,P1708,S,White,12
V01708,P1709,L,Blue,164
V01709,P1710,M,White,157
V01710,P9999,XL,Blue,84
V01711,P1712,XL,Blue,130
V01712,P1713,L,Blue,57
V01713,P1714,S,White,139
V01714,P1715,M,Red,194
V01715,P1716,L,Blue,20
V01716,P1717,M,Blue,161
V01717,P1718,M,Black,42
V01718,P1719,L,Blue,76
V01719,P1720,L,Black,57
V01720,P1721,L,White,100
V01721,P1722,M,Red,155
V01722,P1723,M,Black,82
V01723,P1724,XL,Blue,151
V01724,P1725,L,White,81
V01725,P1726,L,White,62
V01726,P1727,XL,Black,60
V01727,P1728,M,Blue,133
V01728,P1729,S,Red,28
V01729,P1730,L,White,137
V01730,P1731,XL,White,110
V01731,P1732,S,Red,165
V01732,P1733,S,White,117
V01733,P1734,XL,Blue,188
V01734,P1735,L,White,176
V01735,P1736,S,Red,152
V01736,P1737,M,Blue,157
V01737,P1738,L,Red,166
V01738,P1739,L,Red,0
V01739,P1740,M,Blue,138
V01740,P9999,XL,Blue,166
V01741,P1742,XL,Red,137
V01742,P1743,S,Red,86
V01743,P1744,XL,Black,83
V01744,P1745,M,Red,54
V01745,P1746,XL,Red,192
V01746,P1747,S,Red,155
V01747,P1748,XL,White,31
V01748,P1749,XL,Black,39
V01749,P1750,S,Red,129
V01750,P1751,S,Blue,-5
V01751,P1752,S,Red,2
V01752,P1753,M,White,65
V01753,P1754,XL,Red,68
V01754,P1755,M,Blue,125
V01755,P1756,M,Black,197
V01756,P1757,M,White,29
V01757,P1758,S,Black,44
V01758,P1759,L,White,63
V01759,P1760,M,Black,51
V01760,P1761,L,Blue,178
V01761,P1762,L,Black,126
V01762,P1763,XL,White,163
V01763,P1764,XL,White,63
V01764,P1765,S,Red,174
V01765,P1766,XL,Black,21
V01766,P1767,M,Black,186
V01767,P1768,L,White,37
V01768,P1769,M,Red,130
V01769,P1770,S,Black,78
V01770,P9999,XL,Red,159
V01771,P1772,L,Red,67
V01772,P1773,M,Black,156
V01773,P1774,M,Blue,143
V01774,P1775,L,Black,73
V01775,P1776,XL,Blue,79
V01776,P1777,XL,White,182
V01777,P1778,M,Red,94
V01778,P1779,S,Blue,139
V01779,P1780,XL,White,45
V01780,P1781,S,White,163
V01781,P1782,XL,Blue,12
V01782,P1783,XL,Red,182
V01783,P1784,M,Red,67
V01784,P1785,XL,Red,105
V01785,P1786,M,White,102
V01786,P1787,L,White,8
V01787,P1788,S,White,107
V01788,P1789,L,Red,57
V01789,P1790,S,Blue,191
V01790,P1791,S,Blue,190
V01791,P1792,S,Black,132
V01792,P1793,XL,Red,18
V01793,P1794,L,Blue,11
V01794,P1795,L,Blue,148
V01795,P1796,S,Blue,190
V01796,P1797,S,White,123
V01797,P1798,L,Blue,116
V01798,P1799,M,White,45
V01799,P1800,S,Red,88
V01800,P9999,S,Red,-5
V01801,P1802,L,Blue,103
V01802,P1803,XL,Blue,4
V01803,P1804,L,Blue,10
V01804,P1805,L,Red,107
V01805,P1806,XL,Red,154
V01806,P1807,S,Blue,81
V01807,P1808,L,Red,168
V01808,P1809,S,Blue,131
V01809,P1810,M,Red,177
V01810,P1811,S,Blue,7
V01811,P1812,XL,Red,160
V01812,P1813,L,Black,114
V01813,P1814,M,Blue,182
V01814,P1815,M,Black,113
V01815,P1816,L,White,152
V01816,P1817,S,Red,187
V01817,P1818,M,White,73
V01818,P1819,M,Black,103
V01819,P1820,S,White,121
V01820,P1821,XL,White,15
V01821,P1822,XL,Blue,42
V01822,P1823,S,Blue,155
V01823,P1824,L,Red,121
V01824,P1825,S,Red,131
V01825,P1826,XL,White,64
V01826,P1827,M,Red,198
V01827,P1828,S,White,83
V01828,P1829,M,Red,136
V01829,P1830,S,Red,177
V01830,P9999,M,White,103
